tokenizer_name,language,region,fertility,compression_ratio,byte_fallback_rate,unknown_rate,vocab_coverage,roundtrip_pass_rate,avg_tokens_per_sent,total_tokens,total_words,total_chars,total_sentences
Gemma-4,Hindi,Indic,1.385,3.69,0.0,0.0,100.0,100.0,35.1,35521,25643,131058,1012
BLOOM,Hindi,Indic,1.37,3.73,0.03,0.0,98.65,100.0,34.72,35135,25643,131058,1012
Gemma-4,Bengali,Indic,1.683,3.93,0.0,0.0,100.0,100.0,32.45,32836,19506,129042,1012
BLOOM,Bengali,Indic,1.652,4.004,0.27,0.0,99.38,100.0,31.85,32228,19506,129042,1012
BanglaLLama-3.1-8B,Bengali,Indic,8.021,0.825,16.93,0.0,58.02,100.0,154.6,156453,19506,129042,1012
Gemma-4,Tamil,Indic,2.374,3.87,0.0,0.0,100.0,100.0,39.36,39830,16775,154133,1012
BLOOM,Tamil,Indic,2.099,4.378,0.24,0.0,100.0,100.0,34.79,35208,16775,154133,1012
Tamil-Mistral-7B,Tamil,Indic,1.734,5.297,0.0,0.0,86.61,100.0,28.75,29096,16775,154133,1012
Gemma-4,Telugu,Indic,2.843,2.751,1.0,0.0,99.35,100.0,47.58,48148,16938,132470,1012
BLOOM,Telugu,Indic,2.15,3.637,0.62,0.0,99.35,100.0,35.99,36421,16938,132470,1012
Telugu-Llama2-7B,Telugu,Indic,19.59,0.399,90.6,0.0,50.0,100.0,327.89,331821,16938,132470,1012
Gemma-4,Kannada,Indic,3.241,2.645,0.0,0.0,100.0,100.0,51.56,52180,16100,138040,1012
BLOOM,Kannada,Indic,2.217,3.868,0.86,0.0,100.0,100.0,35.27,35689,16100,138040,1012
Gemma-4,Malayalam,Indic,3.357,2.98,0.0,0.0,100.0,100.0,49.52,50113,14930,149336,1012
BLOOM,Malayalam,Indic,2.54,3.937,0.17,0.0,98.57,100.0,37.48,37928,14930,149336,1012
MalayaLLM-Gemma-9B,Malayalam,Indic,5.875,1.703,0.0,0.0,100.0,100.0,86.67,87715,14930,149336,1012
Gemma-4,Marathi,Indic,1.987,3.517,0.0,0.0,100.0,100.0,37.39,37835,19046,133051,1012
BLOOM,Marathi,Indic,1.754,3.982,0.23,0.0,100.0,100.0,33.02,33415,19046,133051,1012
Gemma-4,Gujarati,Indic,2.415,2.506,0.01,0.0,99.29,100.0,49.84,50443,20886,126428,1012
BLOOM,Gujarati,Indic,1.776,3.407,0.34,0.0,95.74,100.0,36.66,37103,20886,126428,1012
Gujju-Llama-7B,Gujarati,Indic,2.033,2.977,0.0,0.0,82.98,100.0,41.96,42463,20886,126428,1012
Gemma-4,Punjabi,Indic,2.82,1.827,0.01,0.0,99.33,100.0,72.18,73045,25906,133425,1012
BLOOM,Punjabi,Indic,1.528,3.372,0.07,0.0,99.33,100.0,39.1,39572,25906,133425,1012
Dhee-Qwen3-Punjabi-2B,Punjabi,Indic,7.758,0.664,19.43,0.0,67.33,43.38,198.6,200987,25906,133425,1012
Gemma-4,Odia,Indic,4.852,1.416,1.06,0.0,96.32,100.0,94.07,95199,19620,134839,1012
BLOOM,Odia,Indic,1.912,3.595,0.22,0.0,96.32,100.0,37.07,37512,19620,134839,1012
Gemma-4,Assamese,Indic,2.819,2.316,0.01,0.0,99.38,100.0,53.73,54371,19289,125936,1012
BLOOM,Assamese,Indic,1.999,3.266,0.26,0.0,98.76,100.0,38.11,38564,19289,125936,1012
Gemma-4,Urdu,Indic,1.489,3.156,0.0,0.0,100.0,100.0,40.67,41163,27653,129919,1012
BLOOM,Urdu,Indic,1.344,3.496,0.04,0.0,98.52,100.0,36.72,37160,27653,129919,1012
Qalb-1.0-8B,Urdu,Indic,3.02,1.556,17.51,0.0,91.11,100.0,82.52,83511,27653,129919,1012
Gemma-4,Nepali,Indic,2.216,3.062,0.0,0.0,99.35,100.0,40.96,41449,18701,126903,1012
